event_id,dm,RA,Dec,is_in_DESI,DMhalo,DMISM,DM_Cosm,z
2822,338.0568847656 pc / cm3,222.2489139481,21.9549651179,True,40.0 pc / cm3,22.24426289102019 pc / cm3,275.8126218745798 pc / cm3,0.2036378563411047
2823,680.9662475586 pc / cm3,144.1751884882,67.134537756,True,40.0 pc / cm3,40.89676470231645 pc / cm3,600.0694828562836 pc / cm3,0.5544061959882546
2824,350.9968566895 pc / cm3,187.2917877268,47.0552653212,True,40.0 pc / cm3,25.278200250344163 pc / cm3,285.71865643915584 pc / cm3,0.21470060569211372
2825,538.6265258789 pc / cm3,249.829322881,22.388562229,True,40.0 pc / cm3,39.55538716289977 pc / cm3,459.07113871600023 pc / cm3,0.40406028429700697
2826,2073.2268066406 pc / cm3,189.0373434664,52.8436124704,True,40.0 pc / cm3,29.376752299325247 pc / cm3,2003.8500543412747 pc / cm3,2.0432198548421465
2827,741.6224365234 pc / cm3,152.006329122,36.0807664611,True,40.0 pc / cm3,35.1188218589225 pc / cm3,666.5036146644775 pc / cm3,0.6246579953523316
2828,7707.3735351562 pc / cm3,228.1844433486,20.7352247188,True,40.0 pc / cm3,23.94632365363362 pc / cm3,7643.427211502566 pc / cm3,
2829,1086.5537109375 pc / cm3,6.993609306,40.749613489,False,40.0 pc / cm3,65.90442884646264 pc / cm3,980.6492820910373 pc / cm3,0.9552152279814363
2830,814.8141479492 pc / cm3,232.2095206815,41.2678608703,True,40.0 pc / cm3,26.63544433606047 pc / cm3,748.1787036131395 pc / cm3,0.7107448038878401
2831,208.657119751 pc / cm3,265.4109621577,21.6017516949,True,40.0 pc / cm3,64.81080377819899 pc / cm3,103.84631597280102 pc / cm3,0.004413306442298633
2832,383.7511901855 pc / cm3,187.9627018471,26.7424657121,True,40.0 pc / cm3,19.839811347645945 pc / cm3,323.91137883785404 pc / cm3,0.2570575159014445
2833,277.8051147461 pc / cm3,226.466153872,63.3642268877,True,40.0 pc / cm3,34.57967966970848 pc / cm3,203.22543507639153 pc / cm3,0.1214146330854303
2834,445.2160644531 pc / cm3,189.7307404995,-0.6446912607,True,40.0 pc / cm3,31.04254297014493 pc / cm3,374.17352148295504 pc / cm3,0.312181923882813
2835,498.1890869141 pc / cm3,355.9307312754,6.3177875777,True,40.0 pc / cm3,34.21195031773745 pc / cm3,423.9771365963626 pc / cm3,0.3662408842497538
2836,1378.1075439453 pc / cm3,343.971434561,30.9688763373,True,40.0 pc / cm3,55.50709276070241 pc / cm3,1282.6004511845977 pc / cm3,1.2728214456758067
2837,329.9693908691 pc / cm3,208.3613711258,39.6831638371,True,40.0 pc / cm3,26.598977033353727 pc / cm3,263.37041383574626 pc / cm3,0.18969379975575132
2838,767.0979614258 pc / cm3,191.1765877562,28.4037276574,True,40.0 pc / cm3,19.811146754989267 pc / cm3,707.2868146708107 pc / cm3,0.667673742625913
