event_id,dm,RA,Dec,DMhalo,DMISM,DM_Cosm,z
112,621.5232543945 pc / cm3,313.0472435011,86.3719095785,40.0 pc / cm3,75.0 pc / cm3,406.5232543945 pc / cm3,0.4549062804852324
113,2306.55078125 pc / cm3,171.8207072351,26.7494179996,40.0 pc / cm3,75.0 pc / cm3,2091.55078125 pc / cm3,2.2497385970395176
114,615.8619995117 pc / cm3,120.9048365272,37.3188046321,40.0 pc / cm3,75.0 pc / cm3,400.8619995117 pc / cm3,0.4488556150197424
115,423.7842407227 pc / cm3,108.0621409268,46.1061083294,40.0 pc / cm3,75.0 pc / cm3,208.78424072270002 pc / cm3,0.2403344258011757
116,607.7745361328 pc / cm3,169.1514952388,29.4560094778,40.0 pc / cm3,75.0 pc / cm3,392.7745361328 pc / cm3,0.4402049742124481
117,320.6687927246 pc / cm3,251.3159738507,53.692159649,40.0 pc / cm3,75.0 pc / cm3,105.6687927246 pc / cm3,0.12421985259546954
118,783.6773071289 pc / cm3,183.8576599319,15.0823032136,40.0 pc / cm3,75.0 pc / cm3,568.6773071289 pc / cm3,0.6269524890766006
119,235.3458251953 pc / cm3,50.1045793198,77.2636952901,40.0 pc / cm3,75.0 pc / cm3,20.345825195299994 pc / cm3,0.02428771965575718
120,259.203918457 pc / cm3,265.0141554597,55.9262218831,40.0 pc / cm3,75.0 pc / cm3,44.203918456999986 pc / cm3,0.052679603070979276
121,1298.4458007812 pc / cm3,266.3589746629,60.2636733184,40.0 pc / cm3,75.0 pc / cm3,1083.4458007812 pc / cm3,1.1685229005890299
122,583.9164428711 pc / cm3,37.8141242859,87.2363919311,40.0 pc / cm3,75.0 pc / cm3,368.9164428711 pc / cm3,0.41463529680420447
123,1140.7398681641 pc / cm3,75.4089492387,74.9780140909,40.0 pc / cm3,75.0 pc / cm3,925.7398681641 pc / cm3,1.002666124780343
124,418.9317321777 pc / cm3,70.5958132552,59.5448111836,40.0 pc / cm3,75.0 pc / cm3,203.93173217769998 pc / cm3,0.23495554394181004
125,616.266418457 pc / cm3,289.5856425202,5.037892605,40.0 pc / cm3,75.0 pc / cm3,401.266418457 pc / cm3,0.4492879822384905
126,158.9190826416 pc / cm3,41.034614484,55.8453457592,40.0 pc / cm3,75.0 pc / cm3,-56.0809173584 pc / cm3,
127,231.706451416 pc / cm3,284.0021506885,20.4971124829,40.0 pc / cm3,75.0 pc / cm3,16.706451415999993 pc / cm3,0.019921525801118386
128,1279.4401855469 pc / cm3,138.4000352702,27.8111721179,40.0 pc / cm3,75.0 pc / cm3,1064.4401855469 pc / cm3,1.1485406082534553
129,255.1601715088 pc / cm3,69.7740838997,57.7196805589,40.0 pc / cm3,75.0 pc / cm3,40.160171508800005 pc / cm3,0.04789455537878192
130,1380.1293945312 pc / cm3,273.5949035833,7.7848749595,40.0 pc / cm3,75.0 pc / cm3,1165.1293945312 pc / cm3,1.2544348568075563
131,713.3162231445 pc / cm3,335.1670025211,26.3217321252,40.0 pc / cm3,75.0 pc / cm3,498.3162231445 pc / cm3,0.5525483642123212
132,267.2913818359 pc / cm3,29.840927841,65.7169337186,40.0 pc / cm3,75.0 pc / cm3,52.29138183589998 pc / cm3,0.06221811197170068
133,234.9414520264 pc / cm3,346.1191860793,85.7991793855,40.0 pc / cm3,75.0 pc / cm3,19.941452026399986 pc / cm3,0.023803067468369278
134,208.657119751 pc / cm3,156.324703155,79.5565857318,40.0 pc / cm3,75.0 pc / cm3,-6.34288024899999 pc / cm3,
135,500.2109680176 pc / cm3,357.8994970009,31.2894594942,40.0 pc / cm3,75.0 pc / cm3,285.2109680176 pc / cm3,0.3242063098310956
136,293.9801025391 pc / cm3,339.7335536015,55.5281291652,40.0 pc / cm3,75.0 pc / cm3,78.98010253910002 pc / cm3,0.09341461803486256
137,574.2114868164 pc / cm3,108.3978630634,71.5438094314,40.0 pc / cm3,75.0 pc / cm3,359.2114868164 pc / cm3,0.404211135843635
138,289.5319824219 pc / cm3,204.9693318411,60.9147581948,40.0 pc / cm3,75.0 pc / cm3,74.53198242190001 pc / cm3,0.08824370694576981
139,361.5105895996 pc / cm3,288.4417049905,50.8678466396,40.0 pc / cm3,75.0 pc / cm3,146.5105895996 pc / cm3,0.17070649195963428
140,272.9526367188 pc / cm3,121.0752349172,81.897825875,40.0 pc / cm3,75.0 pc / cm3,57.95263671880002 pc / cm3,0.06887077524834402
141,460.5823059082 pc / cm3,337.5548202596,72.4826503392,40.0 pc / cm3,75.0 pc / cm3,245.5823059082 pc / cm3,0.2809033420346468
142,852.8253173828 pc / cm3,167.8832596679,42.7996132655,40.0 pc / cm3,75.0 pc / cm3,637.8253173828 pc / cm3,0.699844294470948
143,609.7963867188 pc / cm3,66.9170974528,8.7903573662,40.0 pc / cm3,75.0 pc / cm3,394.7963867188 pc / cm3,0.4423683916502653
144,29.1149482727 pc / cm3,256.5036482021,55.1668563584,40.0 pc / cm3,75.0 pc / cm3,0,
145,209.8702392578 pc / cm3,22.0882221905,54.7867773903,40.0 pc / cm3,75.0 pc / cm3,-5.1297607422000056 pc / cm3,
146,331.5869140625 pc / cm3,135.192290849,58.9932033126,40.0 pc / cm3,75.0 pc / cm3,116.5869140625 pc / cm3,0.13672008485129708
147,700.7806396484 pc / cm3,358.8840382279,83.8198283605,40.0 pc / cm3,75.0 pc / cm3,485.7806396484 pc / cm3,0.5392584037174298
148,687.840637207 pc / cm3,49.592348553,72.7314395426,40.0 pc / cm3,75.0 pc / cm3,472.840637207 pc / cm3,0.5255267034658486
149,554.8015136719 pc / cm3,190.3944043663,7.7848749595,40.0 pc / cm3,75.0 pc / cm3,339.8015136719 pc / cm3,0.3833193453806731
150,340.0787658691 pc / cm3,246.3294593639,57.7577746959,40.0 pc / cm3,75.0 pc / cm3,125.07876586909998 pc / cm3,0.1464043782493102
151,939.7658081055 pc / cm3,87.5130236876,71.6657405885,40.0 pc / cm3,75.0 pc / cm3,724.7658081055 pc / cm3,0.7913119199206767
152,828.9672851562 pc / cm3,230.6082953238,46.1121988668,40.0 pc / cm3,75.0 pc / cm3,613.9672851562 pc / cm3,0.6747137899623716
153,218.3621063232 pc / cm3,53.9373978341,48.6138113299,40.0 pc / cm3,75.0 pc / cm3,3.3621063232000097 pc / cm3,0.003826892159277227
154,874.6615600586 pc / cm3,283.6563147561,66.1360265415,40.0 pc / cm3,75.0 pc / cm3,659.6615600586 pc / cm3,0.7228313314813485
155,700.3762207031 pc / cm3,331.7793322167,29.4463431659,40.0 pc / cm3,75.0 pc / cm3,485.3762207031 pc / cm3,0.5388294458493679
156,353.8274841309 pc / cm3,234.0663158084,55.6402269724,40.0 pc / cm3,75.0 pc / cm3,138.82748413090002 pc / cm3,0.16201657358037153
157,1520.8516845703 pc / cm3,336.4568394072,12.0502644816,40.0 pc / cm3,75.0 pc / cm3,1305.8516845703 pc / cm3,1.4027238889293963
158,477.1616516113 pc / cm3,322.4378375739,50.3613636368,40.0 pc / cm3,75.0 pc / cm3,262.1616516113 pc / cm3,0.29906482472505785
159,1238.5983886719 pc / cm3,309.6882150579,73.6693483176,40.0 pc / cm3,75.0 pc / cm3,1023.5983886719 pc / cm3,1.1056009260725272
160,321.4775390625 pc / cm3,283.7403224841,36.9381680673,40.0 pc / cm3,75.0 pc / cm3,106.4775390625 pc / cm3,0.12514773432829862
161,509.9159545898 pc / cm3,63.219824093,2.2771234734,40.0 pc / cm3,75.0 pc / cm3,294.9159545898 pc / cm3,0.3347575344628661
162,689.0537719727 pc / cm3,359.63604776,28.8140718953,40.0 pc / cm3,75.0 pc / cm3,474.0537719727 pc / cm3,0.52681464638244
163,347.7618713379 pc / cm3,347.2506215746,46.9601317056,40.0 pc / cm3,75.0 pc / cm3,132.7618713379 pc / cm3,0.1551388187852384
164,1342.9270019531 pc / cm3,265.9485573967,50.5774197469,40.0 pc / cm3,75.0 pc / cm3,1127.9270019531 pc / cm3,1.215298057345163
165,792.5735473633 pc / cm3,181.599497704,31.6337473271,40.0 pc / cm3,75.0 pc / cm3,577.5735473633 pc / cm3,0.6363408568991895
166,348.9750061035 pc / cm3,219.3575821452,65.7286077247,40.0 pc / cm3,75.0 pc / cm3,133.9750061035 pc / cm3,0.15651562913265077
167,1435.1242675781 pc / cm3,4.1659275062,73.4371447486,40.0 pc / cm3,75.0 pc / cm3,1220.1242675781 pc / cm3,1.3123309950292215
168,439.5548400879 pc / cm3,247.1977700392,50.2072003369,40.0 pc / cm3,75.0 pc / cm3,224.5548400879 pc / cm3,0.25776740174505336
169,601.7089233398 pc / cm3,242.7269999046,83.8247520399,40.0 pc / cm3,75.0 pc / cm3,386.7089233398 pc / cm3,0.4337114880913119
170,601.7089233398 pc / cm3,332.4842836025,86.8471305318,40.0 pc / cm3,75.0 pc / cm3,386.7089233398 pc / cm3,0.4337114880913119
171,517.1947021484 pc / cm3,273.1002059527,34.8263861086,40.0 pc / cm3,75.0 pc / cm3,302.1947021484 pc / cm3,0.34265827588328435
172,495.3584899902 pc / cm3,359.2289662691,41.2515406277,40.0 pc / cm3,75.0 pc / cm3,280.3584899902 pc / cm3,0.3189232211827345
173,799.0435791016 pc / cm3,189.9170660297,87.6561239815,40.0 pc / cm3,75.0 pc / cm3,584.0435791016 pc / cm3,0.6431665981978573
174,299.2369689941 pc / cm3,205.6250255293,53.2987744239,40.0 pc / cm3,75.0 pc / cm3,84.23696899409998 pc / cm3,0.09951172362122931
175,735.9611816406 pc / cm3,322.8389468324,33.7057474115,40.0 pc / cm3,75.0 pc / cm3,520.9611816406 pc / cm3,0.5765274480861259
176,291.1494750977 pc / cm3,19.350562241,67.3759207063,40.0 pc / cm3,75.0 pc / cm3,76.14947509770002 pc / cm3,0.09012529998957518
177,422.1667480469 pc / cm3,212.1246396412,54.8671624471,40.0 pc / cm3,75.0 pc / cm3,207.1667480469 pc / cm3,0.23854227529499522
178,326.7344055176 pc / cm3,17.9784464245,63.0785830277,40.0 pc / cm3,75.0 pc / cm3,111.73440551760001 pc / cm3,0.13117135465096824
179,1081.701171875 pc / cm3,215.3402707028,77.1469686508,40.0 pc / cm3,75.0 pc / cm3,866.701171875 pc / cm3,0.940542861582257
180,1054.2037353516 pc / cm3,246.2978705244,40.4705747061,40.0 pc / cm3,75.0 pc / cm3,839.2037353516 pc / cm3,0.9116240281558452
181,219.5752258301 pc / cm3,243.0684594353,88.7792842585,40.0 pc / cm3,75.0 pc / cm3,4.57522583010001 pc / cm3,0.005295723751976716
182,841.0985107422 pc / cm3,110.0147046613,81.3975358116,40.0 pc / cm3,75.0 pc / cm3,626.0985107422 pc / cm3,0.6874942040533772
183,1976.5814208984 pc / cm3,210.0476445767,80.7781266825,40.0 pc / cm3,75.0 pc / cm3,1761.5814208984 pc / cm3,1.888719649749477
184,792.9779663086 pc / cm3,185.1015862999,31.9948698709,40.0 pc / cm3,75.0 pc / cm3,577.9779663086 pc / cm3,0.6367675633365704
185,538.6265258789 pc / cm3,87.5534383213,81.4195392679,40.0 pc / cm3,75.0 pc / cm3,323.6265258789 pc / cm3,0.36586199226403654
186,866.5740356445 pc / cm3,26.2719503799,64.0868991861,40.0 pc / cm3,75.0 pc / cm3,651.5740356445 pc / cm3,0.714318962821738
